UserID,Username,Password,UserType
1,user1,password1,Administrator
2,user2,password2,Chef
3,user3,password3,Chef
4,user4,password4,Chef
5,user5,password5,Chef
6,user6,password6,Chef
7,user7,password7,Chef
8,user8,password8,Chef
9,user9,password9,Chef
10,user10,password10,Chef
11,user11,password11,Chef
12,user12,password12,Chef
13,user13,password13,Chef
14,user14,password14,Chef
15,user15,password15,Chef
16,user16,password16,Chef
17,user17,password17,Chef
18,user18,password18,Chef
19,user19,password19,Chef
20,user20,password20,Chef
21,user21,password21,Chef
22,user22,password22,Chef
23,user23,password23,Chef
24,user24,password24,Chef
25,user25,password25,Chef
26,user26,password26,Chef
27,user27,password27,Chef
28,user28,password28,Chef
29,user29,password29,Chef
30,user30,password30,Chef
31,user31,password31,Chef
32,user32,password32,Chef
33,user33,password33,Chef
34,user34,password34,Chef
35,user35,password35,Chef
36,user36,password36,Chef
37,user37,password37,Chef
38,user38,password38,Chef
39,user39,password39,Chef
40,user40,password40,Chef
41,user41,password41,Chef
42,user42,password42,Chef
43,user43,password43,Chef
44,user44,password44,Chef
45,user45,password45,Chef
46,user46,password46,Chef
47,user47,password47,Chef
48,user48,password48,Chef
49,user49,password49,Chef
50,user50,password50,Chef
51,user51,password51,Chef
